z1,n1,z2,n2,z3,n3,oneMinusR,C,W
1,7,1,5,1,6,3.11953597398e-08,183,124
1,7,1,5,1,7,2.72631999199e-08,193,130
1,7,1,6,1,6,7.62435992119e-09,195,129
1,7,1,6,1,7,3.69219999019e-09,205,135
1,7,1,7,1,6,6.91722989998e-09,207,134
1,7,1,7,1,7,2.98506996899e-09,217,140
1,1,1,1,3,3,0.1082158336,33,20
1,1,3,3,1,1,0.1219648,25,24
1,1,3,4,1,1,0.10490944,27,27
1,1,3,3,3,3,0.10545773824,27,24
1,1,3,3,5,3,0.11824869894,21,30
1,1,3,3,5,4,0.0962266706502,23,34
1,1,3,4,5,3,0.101121155682,23,33
2,1,1,1,1,1,0.152608,28,17
2,2,1,2,1,2,0.010578321664,56,34
2,3,1,2,1,2,0.00322573854976,62,40
2,4,1,3,1,3,0.000156602301603,90,57
2,4,1,3,1,4,9.5167991453e-05,100,63
2,5,1,3,1,3,9.69026346642e-05,96,63
2,5,1,3,1,4,3.54646563315e-05,106,69
2,5,1,4,1,4,9.27487802682e-06,118,74
2,6,1,3,1,3,9.15296646398e-05,102,69
2,6,1,3,1,4,3.00913561707e-05,112,75
2,6,1,4,1,4,3.90143713536e-06,124,80
2,6,1,4,1,5,1.44384043221e-06,134,86
2,6,1,5,1,5,6.58140930199e-07,146,91
2,7,1,4,1,4,3.41782745517e-06,130,86
2,7,1,4,1,5,9.60229563418e-07,140,92
2,7,1,5,1,5,1.74529681485e-07,152,97
2,7,1,5,1,6,7.62256885389e-08,162,103
2,7,1,5,1,7,7.2293528941e-08,172,109
2,7,1,6,1,5,1.50958684997e-07,164,102
2,7,1,6,1,6,5.26546897195e-08,174,108
2,7,1,6,1,7,4.87225300105e-08,184,114
2,7,1,7,1,6,5.19475596983e-08,186,113
2,7,1,7,1,7,4.80153999893e-08,196,119
2,5,1,3,2,5,4.90093106337e-05,96,85
2,6,1,5,2,7,7.50612588862e-07,138,117
2,7,1,4,2,7,1.05270119399e-06,132,118
2,7,1,5,2,7,2.67001384779e-07,144,123
2,1,1,1,3,1,0.364456,22,13
2,1,1,1,3,2,0.18650368,26,15
2,1,1,1,3,3,0.1366770304,30,17
2,2,1,1,3,2,0.1132890112,32,21
2,2,1,1,3,3,0.058977963136,36,23
2,2,1,1,3,4,0.0437708696781,40,25
2,2,1,1,3,5,0.0395128835099,44,27
2,2,1,2,3,4,0.0150839957684,52,30
2,2,1,2,3,5,0.0106982700152,56,32
2,3,1,2,3,4,0.00776489518652,58,36
2,3,1,2,3,5,0.00334657826023,62,38
2,3,1,2,3,6,0.00210944952086,66,40
2,3,1,2,3,7,0.00176305347384,70,42
2,3,1,3,3,7,0.000890807598236,82,47
2,4,1,3,3,7,0.000227525018088,88,53
2,4,1,3,4,7,0.000265091016815,81,67
2,4,2,5,1,3,0.000183381230449,69,77
2,4,2,6,1,3,0.000137134361089,72,84
2,4,2,6,1,4,7.56988547513e-05,82,90
2,5,2,5,1,3,0.000123683162453,75,83
2,5,2,5,1,4,6.22468296215e-05,85,89
2,5,2,6,1,3,7.74335317377e-05,78,90
2,5,2,6,1,4,1.59943571467e-05,88,96
2,5,2,7,1,3,7.09585834375e-05,81,97
2,5,2,7,1,4,9.51901100033e-06,91,103
2,6,2,6,1,3,7.20604570962e-05,84,96
2,6,2,6,1,4,1.06209523625e-05,94,102
2,6,2,7,1,4,4.1455714207e-06,97,109
2,6,2,7,1,5,1.68797531752e-06,107,115
2,7,2,7,1,4,3.66196185853e-06,103,115
2,7,2,7,1,5,1.20436456685e-06,113,121
2,7,2,7,1,6,1.10606067505e-06,123,127
2,4,2,5,2,4,0.000265781391612,63,91
2,4,2,5,2,5,0.000135492048567,69,99
2,4,2,6,2,4,0.0002195383337,66,98
2,4,2,6,2,5,8.92429640758e-05,72,106
2,5,2,5,2,5,7.57911211554e-05,75,105
2,5,2,6,2,5,2.95392751766e-05,78,112
2,5,2,6,2,6,1.52059287389e-05,84,120
2,5,2,7,2,5,2.30640167396e-05,81,119
2,5,2,7,2,6,8.73057748707e-06,87,127
2,6,2,6,2,5,2.41659431758e-05,84,118
2,6,2,6,2,6,9.83251971809e-06,90,126
2,6,2,7,2,6,3.35713367083e-06,93,133
2,6,2,7,2,7,1.78044688082e-06,99,141
2,7,2,7,2,6,2.87352372741e-06,99,139
2,7,2,7,2,7,1.29683617489e-06,105,147
2,1,2,1,3,2,0.27875584,17,17
2,1,2,2,3,2,0.1777816576,20,24
2,2,2,3,3,4,0.0169018169193,37,41
2,3,2,3,3,5,0.00518606270591,47,49
2,3,2,4,3,7,0.00124765907238,58,60
2,4,2,4,3,6,0.000931418371606,60,64
2,4,2,5,3,7,0.000254302047402,67,73
2,4,2,4,4,7,0.000622165977932,57,80
2,4,2,5,4,7,0.000291867039994,60,87
2,4,2,6,4,7,0.000245625188683,63,94
2,5,2,5,4,7,0.00023217544958,66,93
2,1,2,1,5,1,0.475658,11,17
2,1,2,1,5,2,0.30262514,13,21
2,1,2,1,5,3,0.2455242962,15,25
2,1,2,2,5,3,0.139897697668,18,32
2,1,2,2,5,4,0.11841636023,20,36
2,2,2,2,5,3,0.0624884904581,24,38
2,2,2,2,5,4,0.0390738326512,26,42
2,2,2,3,5,4,0.0225526459143,29,49
2,2,2,3,5,5,0.0146929614637,31,53
