tag,requested_initial_size,seed,actual_initial_population_size,unique_initial_decisions,initial_duplicates_removed
rand,50,1,50,50,0
rand,50,2,50,50,0
rand,50,3,50,50,0
rand,50,4,50,50,0
rand,50,5,50,50,0
rand,50,6,50,50,0
rand,50,7,50,50,0
rand,50,8,50,50,0
rand,50,9,50,50,0
rand,50,10,50,50,0
rand,50,11,50,50,0
rand,50,12,50,50,0
rand,50,13,50,50,0
rand,50,14,50,50,0
rand,50,15,50,50,0
rand,50,16,50,50,0
rand,50,17,50,50,0
rand,50,18,50,50,0
rand,50,19,50,50,0
rand,50,20,50,50,0
rand,50,21,50,50,0
rand,50,22,50,50,0
rand,50,23,50,50,0
rand,50,24,50,50,0
rand,50,25,50,50,0
rand,50,26,50,50,0
rand,50,27,50,50,0
rand,50,28,50,50,0
rand,50,29,50,50,0
rand,50,30,50,50,0
rand,100,1,100,100,0
rand,100,2,100,100,0
rand,100,3,100,100,0
rand,100,4,100,100,0
rand,100,5,100,100,0
rand,100,6,100,100,0
rand,100,7,100,100,0
rand,100,8,100,100,0
rand,100,9,99,99,1
rand,100,10,100,100,0
rand,100,11,100,100,0
rand,100,12,100,100,0
rand,100,13,100,100,0
rand,100,14,100,100,0
rand,100,15,100,100,0
rand,100,16,100,100,0
rand,100,17,100,100,0
rand,100,18,100,100,0
rand,100,19,100,100,0
rand,100,20,100,100,0
rand,100,21,100,100,0
rand,100,22,100,100,0
rand,100,23,100,100,0
rand,100,24,100,100,0
rand,100,25,100,100,0
rand,100,26,100,100,0
rand,100,27,100,100,0
rand,100,28,100,100,0
rand,100,29,100,100,0
rand,100,30,100,100,0
halton,50,1,50,50,0
halton,50,2,50,50,0
halton,50,3,50,50,0
halton,50,4,50,50,0
halton,50,5,50,50,0
halton,50,6,50,50,0
halton,50,7,50,50,0
halton,50,8,50,50,0
halton,50,9,50,50,0
halton,50,10,50,50,0
halton,50,11,50,50,0
halton,50,12,50,50,0
halton,50,13,50,50,0
halton,50,14,50,50,0
halton,50,15,50,50,0
halton,50,16,50,50,0
halton,50,17,50,50,0
halton,50,18,50,50,0
halton,50,19,50,50,0
halton,50,20,50,50,0
halton,50,21,50,50,0
halton,50,22,50,50,0
halton,50,23,50,50,0
halton,50,24,50,50,0
halton,50,25,50,50,0
halton,50,26,50,50,0
halton,50,27,50,50,0
halton,50,28,50,50,0
halton,50,29,50,50,0
halton,50,30,50,50,0
halton,100,1,100,100,0
halton,100,2,100,100,0
halton,100,3,100,100,0
halton,100,4,100,100,0
halton,100,5,100,100,0
halton,100,6,100,100,0
halton,100,7,100,100,0
halton,100,8,100,100,0
halton,100,9,100,100,0
halton,100,10,100,100,0
halton,100,11,100,100,0
halton,100,12,100,100,0
halton,100,13,100,100,0
halton,100,14,100,100,0
halton,100,15,100,100,0
halton,100,16,100,100,0
halton,100,17,100,100,0
halton,100,18,100,100,0
halton,100,19,100,100,0
halton,100,20,100,100,0
halton,100,21,100,100,0
halton,100,22,100,100,0
halton,100,23,100,100,0
halton,100,24,100,100,0
halton,100,25,100,100,0
halton,100,26,100,100,0
halton,100,27,100,100,0
halton,100,28,100,100,0
halton,100,29,100,100,0
halton,100,30,100,100,0
paired,50,1,50,50,0
paired,50,2,50,50,0
paired,50,3,50,50,0
paired,50,4,50,50,0
paired,50,5,50,50,0
paired,50,6,50,50,0
paired,50,7,50,50,0
paired,50,8,50,50,0
paired,50,9,50,50,0
paired,50,10,50,50,0
paired,50,11,50,50,0
paired,50,12,50,50,0
paired,50,13,50,50,0
paired,50,14,50,50,0
paired,50,15,50,50,0
paired,50,16,50,50,0
paired,50,17,50,50,0
paired,50,18,50,50,0
paired,50,19,50,50,0
paired,50,20,50,50,0
paired,50,21,50,50,0
paired,50,22,50,50,0
paired,50,23,50,50,0
paired,50,24,50,50,0
paired,50,25,50,50,0
paired,50,26,50,50,0
paired,50,27,50,50,0
paired,50,28,50,50,0
paired,50,29,50,50,0
paired,50,30,50,50,0
paired,100,1,100,100,0
paired,100,2,100,100,0
paired,100,3,100,100,0
paired,100,4,100,100,0
paired,100,5,100,100,0
paired,100,6,100,100,0
paired,100,7,100,100,0
paired,100,8,100,100,0
paired,100,9,100,100,0
paired,100,10,100,100,0
paired,100,11,100,100,0
paired,100,12,100,100,0
paired,100,13,100,100,0
paired,100,14,100,100,0
paired,100,15,100,100,0
paired,100,16,100,100,0
paired,100,17,100,100,0
paired,100,18,100,100,0
paired,100,19,100,100,0
paired,100,20,100,100,0
paired,100,21,100,100,0
paired,100,22,100,100,0
paired,100,23,100,100,0
paired,100,24,100,100,0
paired,100,25,100,100,0
paired,100,26,100,100,0
paired,100,27,100,100,0
paired,100,28,100,100,0
paired,100,29,100,100,0
paired,100,30,100,100,0
