pop,checkpoint,eligible,halton_n_reached,paired_n_reached,halton_recall_median,paired_recall_median,delta_recall
50,4696,1,30,30,0.292388,0.289792,0.002596
50,6168,1,30,30,0.3391,0.333045,0.006055
50,6611,1,30,30,0.354671,0.350346,0.004325
50,10000,1,30,30,0.449827,0.451557,-0.00173
50,15000,1,30,30,0.588235,0.586505,0.00173
50,20000,1,30,30,0.706747,0.710208,-0.003461
100,4696,1,30,30,0.323529,0.32526,-0.001731
100,6168,1,30,30,0.390138,0.384083,0.006055
100,6611,1,30,30,0.406574,0.403979,0.002595
100,10000,1,30,30,0.524221,0.520761,0.00346
100,15000,1,30,30,0.66609,0.66955,-0.00346
100,20000,1,30,30,0.787197,0.794118,-0.006921
