pop,seed,checkpoint,reached,n_new,recall,precision,igd,hv_gap,raw_at_checkpoint,cache_hits_at_checkpoint,final_raw,final_cache_hits
100,1,4696,1,4696,0.29411764705882354,0.5214723926380368,2.380055114292172,0.005235433849976254,7013,2317,95600,75591
100,1,6168,1,6168,0.3494809688581315,0.5787965616045845,2.087482355604606,0.003879041938806006,10208,4040,95600,75591
100,1,6611,1,6611,0.3615916955017301,0.5789473684210527,1.9864242953831905,0.0037914918815182357,11249,4638,95600,75591
100,1,10000,1,10000,0.48788927335640137,0.6746411483253588,1.442670841206622,0.0021660674583812234,21222,11222,95600,75591
100,1,15000,1,15000,0.6816608996539792,0.8400852878464818,0.9058215234079313,0.0004730326643574641,48712,33712,95600,75591
100,1,20000,1,20000,0.8114186851211073,0.90715667311412,0.5254319139654484,0.0001842004158987329,95528,75528,95600,75591
100,2,4696,1,4696,0.30103806228373703,0.5014409221902018,2.121032942175852,0.004772336528067797,6698,2002,90000,69996
100,2,6168,1,6168,0.3754325259515571,0.5994475138121547,1.7743989755124654,0.004517540872069253,9640,3472,90000,69996
100,2,6611,1,6611,0.3961937716262976,0.6291208791208791,1.6642985281648546,0.004437727449397131,10642,4031,90000,69996
100,2,10000,1,10000,0.5190311418685121,0.7317073170731707,1.2519986612613176,0.002942357330393817,21117,11117,90000,69996
100,2,15000,1,15000,0.6626297577854672,0.8131634819532909,0.861315229977233,0.0008488207529387265,45575,30575,90000,69996
100,2,20000,1,20000,0.801038062283737,0.8972868217054264,0.5180157076841212,0.00015280638924003226,89955,69955,90000,69996
100,3,4696,1,4696,0.29930795847750863,0.5118343195266272,2.091235222757844,0.0053494946081469735,6684,1988,91400,71398
100,3,6168,1,6168,0.3737024221453287,0.5901639344262295,1.7371599413832466,0.003831713862266918,9747,3579,91400,71398
100,3,6611,1,6611,0.39792387543252594,0.6052631578947368,1.6700602578183312,0.0037714082145457683,10800,4189,91400,71398
100,3,10000,1,10000,0.5346020761245674,0.7186046511627907,1.251388754348105,0.002103474140648615,20565,10565,91400,71398
100,3,15000,1,15000,0.7006920415224913,0.8083832335329342,0.7695799775911055,0.0006024032861611848,44851,29851,91400,71398
100,3,20000,1,20000,0.801038062283737,0.8768939393939394,0.5448417805771274,0.0004742216354413881,91357,71357,91400,71398
100,4,4696,1,4696,0.3373702422145329,0.5539772727272727,2.113749589594299,0.004437406019359402,6936,2240,97500,77490
100,4,6168,1,6168,0.39792387543252594,0.6267029972752044,1.8851390893127624,0.002454945197474954,10198,4030,97500,77490
100,4,6611,1,6611,0.42387543252595156,0.6481481481481481,1.8123001991905887,0.0022556882527370353,11430,4819,97500,77490
