tag,pop,checkpoint,n_seeds_total,n_reached,eligible_for_envelope,recall_median,recall_q1,recall_q3,recall_min,recall_max,precision_median,precision_q1,precision_q3,precision_min,precision_max,igd_median,igd_q1,igd_q3,igd_min,igd_max,hv_gap_median,hv_gap_q1,hv_gap_q3,hv_gap_min,hv_gap_max,raw_at_cp_median
halton,50,4696,30,30,1,0.292388,0.274654,0.304498,0.247405,0.33391,0.515914,0.49797,0.549986,0.44,0.580328,2.217233,2.140686,2.328428,2.009608,2.6235,0.004935,0.0043,0.005864,0.002765,0.010371,8253
halton,50,6168,30,30,1,0.3391,0.322232,0.352509,0.295848,0.373702,0.555884,0.52952,0.576738,0.477778,0.616715,1.99717,1.918024,2.050508,1.756244,2.238088,0.003918,0.003405,0.004441,0.002536,0.00686,12729
halton,50,6611,30,30,1,0.354671,0.33564,0.370242,0.307958,0.387543,0.564278,0.534843,0.600284,0.474934,0.634375,1.910724,1.854491,1.985543,1.653564,2.181193,0.003726,0.003357,0.004153,0.002515,0.006801,14434
halton,50,10000,30,30,1,0.449827,0.436419,0.461505,0.408304,0.484429,0.637359,0.610061,0.658974,0.556604,0.697368,1.525075,1.48839,1.618023,1.326142,1.756263,0.002183,0.001985,0.002406,0.001576,0.003761,29792
halton,50,15000,30,30,1,0.588235,0.565744,0.598183,0.541522,0.615917,0.737124,0.713803,0.751483,0.68,0.773756,1.134996,1.088891,1.196857,0.909576,1.275467,0.001091,0.000954,0.001306,0.000775,0.001486,72979
halton,50,20000,30,30,1,0.706747,0.695934,0.712803,0.678201,0.745675,0.820653,0.802227,0.833593,0.763566,0.85447,0.788556,0.749284,0.822902,0.610998,0.901805,0.000581,0.000491,0.000694,0.000354,0.000988,167733
halton,100,4696,30,30,1,0.323529,0.306661,0.34083,0.261246,0.358131,0.557941,0.525424,0.579258,0.435262,0.621622,2.007307,1.936389,2.050041,1.853543,2.265471,0.004889,0.003667,0.005886,0.002669,0.007264,6740
halton,100,6168,30,30,1,0.390138,0.374135,0.403114,0.33391,0.434256,0.607379,0.588247,0.630762,0.494975,0.701117,1.730468,1.687169,1.766556,1.570459,1.944642,0.003439,0.002889,0.003838,0.001936,0.005252,9977
halton,100,6611,30,30,1,0.406574,0.391436,0.417388,0.351211,0.453287,0.620001,0.608322,0.644002,0.531414,0.715847,1.669186,1.632184,1.698439,1.471054,1.847956,0.003074,0.00273,0.003552,0.001899,0.004931,11042
halton,100,10000,30,30,1,0.524221,0.512543,0.532439,0.484429,0.551903,0.704224,0.690745,0.722809,0.657277,0.748235,1.279864,1.251855,1.318938,1.117494,1.410658,0.0016,0.001398,0.001829,0.000989,0.00415,21673
halton,100,15000,30,30,1,0.66609,0.656142,0.676471,0.617647,0.702422,0.802685,0.782839,0.815117,0.736082,0.849138,0.869385,0.839975,0.891294,0.707302,1.007832,0.000796,0.000568,0.000912,0.000285,0.00156,46652
halton,100,20000,30,30,1,0.787197,0.774221,0.793685,0.730104,0.816609,0.87427,0.856775,0.885647,0.805344,0.914062,0.552566,0.52309,0.583682,0.419595,0.662249,0.000263,0.000219,0.000321,0.000136,0.000585,92981
paired,50,4696,30,30,1,0.289792,0.276384,0.301038,0.243945,0.323529,0.512825,0.493401,0.533948,0.41349,0.609428,2.224061,2.18419,2.316527,2.062208,2.494484,0.004882,0.004289,0.005755,0.002453,0.008694,8243
paired,50,6168,30,30,1,0.333045,0.32872,0.352076,0.288927,0.368512,0.558123,0.534452,0.569978,0.462604,0.62614,2.000151,1.935101,2.041118,1.745169,2.196199,0.003995,0.003314,0.004561,0.002234,0.006008,12770
paired,50,6611,30,30,1,0.350346,0.340398,0.366782,0.307958,0.384083,0.572027,0.547411,0.587248,0.482385,0.627907,1.945712,1.873609,2.012575,1.687794,2.11899,0.003543,0.00313,0.004198,0.002219,0.005342,14281
paired,50,10000,30,30,1,0.451557,0.439446,0.464965,0.411765,0.49654,0.640382,0.631087,0.665453,0.58945,0.703431,1.556542,1.518472,1.603135,1.388153,1.67328,0.002147,0.001902,0.002513,0.001039,0.003291,30492
paired,50,15000,30,30,1,0.586505,0.573529,0.595156,0.538062,0.622837,0.73921,0.718259,0.755922,0.675105,0.792952,1.131829,1.100233,1.158655,0.999269,1.257806,0.001201,0.001093,0.001345,0.000638,0.001654,73583
paired,50,20000,30,30,1,0.710208,0.696367,0.721021,0.686851,0.735294,0.818953,0.802582,0.839005,0.788119,0.873662,0.795294,0.74137,0.832436,0.679048,0.887423,0.000609,0.000537,0.000763,0.000417,0.000999,165884
paired,100,4696,30,30,1,0.32526,0.304066,0.336938,0.278547,0.371972,0.552259,0.521506,0.580971,0.486405,0.639881,2.034345,1.982263,2.091921,1.893001,2.380055,0.00454,0.003985,0.00507,0.002298,0.006824,6841
paired,100,6168,30,30,1,0.384083,0.374135,0.403114,0.346021,0.430796,0.603852,0.590596,0.630196,0.546196,0.68144,1.75832,1.712059,1.828906,1.617455,2.087482,0.003531,0.002855,0.003949,0.001734,0.005559,10066
paired,100,6611,30,30,1,0.403979,0.390138,0.421713,0.361592,0.449827,0.624475,0.593146,0.639707,0.56117,0.682667,1.692706,1.638063,1.738851,1.553116,1.986424,0.003139,0.002645,0.003694,0.00114,0.00535,11240
paired,100,10000,30,30,1,0.520761,0.509083,0.53763,0.487889,0.579585,0.707825,0.682568,0.732572,0.661327,0.765808,1.274334,1.23217,1.341561,1.075124,1.461303,0.001929,0.001604,0.002125,0.000669,0.002942,21855
