pair,config,hv_fixed,hv_cc_static,hv_cc_dnr,hv_full,best_of3,geometry_effect,rotation_effect,neval_fixed,neval_cc_dnr,neval_full
DPAM1_mix,.,1.080304432,0.9742542373,1.007884897,1.125989161,full,-0.10605,0.0336307,14827,17833,19903
DPAM1_mix,b2_sobol50,2.200099952,1.11214573,1.116736636,2.264850738,full,-1.08795,0.00459091,19990,12852,19990
DPAM1_mix,b2_halton200,2.254519952,2.055603944,2.248646496,2.26383736,full,-0.198916,0.193043,19987,19989,19915
FES1_mix,.,9.872140834,11.53682687,11.57943467,11.69246474,full,1.66469,0.0426078,19990,19996,19847
FES1_mix,b2_sobol50,11.13912787,11.47483164,11.49473323,11.48521776,cc_dnr,0.335704,0.0199016,19983,19983,19989
FES1_mix,b2_halton200,10.82515923,11.79108266,11.74636325,11.69104636,cc_dnr,0.965923,-0.0447194,19982,19994,19899
QV1_mix,.,0.5084991858,0.5581192496,0.6164026962,0.5186708309,cc_dnr,0.0496201,0.0582834,19990,19996,19889
QV1_mix,b2_sobol50,0.5689661814,0.5673831559,0.5673975765,0.4974870473,fixed,-0.00158303,1.44205e-05,19987,19992,19919
QV1_mix,b2_halton200,0.5766439738,0.43179845,0.615940775,0.5576153634,cc_dnr,-0.144846,0.184142,19993,19984,19938
DTLZ2_mix,.,9.302714032,9.314154583,9.314154583,8.605063931,cc_dnr,0.0114406,0,19982,19983,19744
DTLZ2_mix,b2_sobol50,9.302631488,9.287558706,9.287558706,8.040743548,fixed,-0.0150728,0,19985,19984,19779
DTLZ2_mix,b2_halton200,9.249193202,9.313949363,9.313949363,8.810004566,cc_dnr,0.0647562,0,19998,19986,19937
ZDT3_mix,.,3.348195592,3.355076627,3.356499888,1.773535129,cc_dnr,0.00688103,0.00142326,19987,19969,19686
ZDT3_mix,b2_sobol50,3.342208233,3.332382551,3.333296495,3.343675709,full,-0.00982568,0.000913944,19986,19972,19328
ZDT3_mix,b2_halton200,3.321065936,3.023324672,3.02395656,1.944285938,fixed,-0.297741,0.000631888,19966,20000,19523
ZDT1_mix,.,3.901480693,3.884878857,3.883828056,1.642206404,fixed,-0.0166018,-0.0010508,19984,19986,19981
ZDT1_mix,b2_sobol50,3.914519707,3.918094858,3.917863497,3.80720649,cc_dnr,0.00357515,-0.000231361,19996,19975,19431
ZDT1_mix,b2_halton200,3.888671706,3.567809471,3.567809471,1.986844858,fixed,-0.320862,0,19970,19963,19271
