pair,variant,hv,hv_gap_union,igd_analytical,n_eval,polls,trials_per_poll,new_per_poll,cache_hits_per_poll,coverage,list_size
DPAM1_mix,fixed,0.8688521367,0.0482602,NaN,14827,1758,20.00,8.406,9.579,0.0045,70
DPAM1_mix,cc_dnr,0.7995291853,0.124197,NaN,17833,1733,20.00,10.261,7.744,0.0084,70
DPAM1_mix,full,0.912891151,1.99254e-05,NaN,19903,229,175.00,86.694,86.371,0.0595,46
FES1_mix,fixed,7.89750793,0.174099,NaN,19990,1154,20.00,17.279,2.720,0.0055,734
FES1_mix,cc_dnr,9.25251192,0.0323963,NaN,19996,1622,20.00,12.297,7.699,0.0119,1137
FES1_mix,full,9.145893766,0.0435461,NaN,19847,134,184.00,147.739,36.261,0.1750,247
QV1_mix,fixed,0.4025939116,0.169318,NaN,19990,2116,20.00,9.423,10.577,0.0057,1274
QV1_mix,cc_dnr,0.484633363,4.44067e-05,NaN,19996,2106,20.00,9.471,10.529,0.0130,1857
QV1_mix,full,0.4112837192,0.151388,NaN,19889,129,222.00,153.791,68.209,0.2664,207
DTLZ2_mix,fixed,4.823338741,0.00564184,0.0629027,19982,1487,24.00,13.404,10.564,0.0231,696
DTLZ2_mix,cc_dnr,4.834779292,0.0032833,0.0502248,19983,1287,24.00,15.488,8.449,0.0260,543
DTLZ2_mix,full,4.12568864,0.149466,0.237754,19744,83,262.00,237.277,24.518,0.2532,319
ZDT3_mix,fixed,3.348195592,0.00428016,0.146673,19987,586,60.00,34.022,14.094,0.0067,132
ZDT3_mix,cc_dnr,3.356499888,0.00181055,0.14717,19969,440,60.00,45.270,5.330,0.0114,88
ZDT3_mix,full,1.773535129,0.472568,1.28581,19686,29,705.00,677.103,27.897,0.1045,6
ZDT1_mix,fixed,3.900382756,6.04843e-06,0.0174796,19984,525,60.00,37.970,9.429,0.0036,131
ZDT1_mix,cc_dnr,3.882730119,0.00453189,0.0266143,19986,433,60.00,46.042,5.002,0.0041,58
ZDT1_mix,full,1.641108467,0.579247,1.67876,19981,25,820.00,797.240,22.600,0.1198,11
