variant,N_eval,recall,igd,hv_gap
fixed,100,0.006920,9.3928516,0.1381232
cc_dnr,100,0.006920,9.2370642,0.13691039
full,100,0.001730,8.6214977,0.13822831
fixed,200,0.020761,8.1713395,0.13726912
cc_dnr,200,0.020761,7.901398,0.1367431
full,200,0.010381,8.085279,0.13721813
fixed,300,0.053633,7.3202014,0.13726888
cc_dnr,300,0.051903,7.3130969,0.13674121
full,300,0.036332,7.5384211,0.1372119
fixed,400,0.072664,7.1966671,0.1372639
cc_dnr,400,0.064014,7.1532384,0.13672793
full,400,0.050173,7.4048399,0.1372066
fixed,500,0.089965,6.5980655,0.13217588
cc_dnr,500,0.072664,7.0380877,0.13672413
full,500,0.062284,6.9105372,0.13705048
fixed,600,0.121107,6.177939,0.12748804
cc_dnr,600,0.091696,6.2490188,0.12167271
full,600,0.086505,6.2909982,0.13207915
fixed,700,0.143599,5.8612129,0.12441193
cc_dnr,700,0.107266,5.5363953,0.1165585
full,700,0.096886,5.6472048,0.11723503
fixed,800,0.153979,5.7283204,0.12440919
cc_dnr,800,0.121107,5.2717092,0.11650061
full,800,0.108997,5.5185013,0.11723246
fixed,900,0.171280,5.5910407,0.12435538
cc_dnr,900,0.136678,4.2798647,0.10396633
full,900,0.128028,5.4240929,0.11721102
fixed,1000,0.200692,5.210231,0.12422667
cc_dnr,1000,0.155709,4.0769788,0.1029455
full,1000,0.143599,5.3269673,0.11718711
fixed,1100,0.212803,4.4289985,0.10567532
cc_dnr,1100,0.171280,3.941017,0.102917
full,1100,0.155709,4.923801,0.11717467
fixed,1200,0.224913,3.3964706,0.070813885
cc_dnr,1200,0.193772,3.8756008,0.1029139
full,1200,0.157439,4.7022571,0.11675026
fixed,1300,0.237024,3.1596882,0.070526435
cc_dnr,1300,0.204152,3.7706707,0.10290929
full,1300,0.166090,4.1749677,0.097548347
fixed,1400,0.257785,2.9965566,0.074366063
cc_dnr,1400,0.230104,3.613184,0.10961981
full,1400,0.174740,3.2220175,0.085003653
fixed,1500,0.288927,2.8923013,0.074356704
cc_dnr,1500,0.247405,3.5198441,0.10961498
full,1500,0.193772,2.8490935,0.055416837
fixed,1600,0.301038,2.8097357,0.074260741
cc_dnr,1600,0.257785,3.4797539,0.10961412
full,1600,0.205882,2.7399484,0.055371411
fixed,1700,0.306228,2.7820519,0.07425213
cc_dnr,1700,0.266436,3.4483132,0.10961372
full,1700,0.221453,2.6347995,0.054671559
fixed,1800,0.325260,2.710411,0.066862521
cc_dnr,1800,0.282007,3.4003786,0.10960788
full,1800,0.233564,2.5601135,0.054664077
fixed,1900,0.352941,2.3714616,0.063188018
cc_dnr,1900,0.294118,3.359752,0.10960564
full,1900,0.254325,2.457989,0.054655702
fixed,2000,0.377163,2.0658197,0.052308631
cc_dnr,2000,0.302768,3.3143995,0.10960441
full,2000,0.268166,2.39641,0.053172851
fixed,2100,0.394464,1.9672062,0.050002007
cc_dnr,2100,0.316609,3.2554274,0.10958222
full,2100,0.283737,2.3587456,0.053169589
fixed,2200,0.413495,1.8156727,0.049364571
cc_dnr,2200,0.325260,3.2076702,0.10934374
full,2200,0.302768,2.1809167,0.052996653
fixed,2300,0.434256,1.6286619,0.036486066
cc_dnr,2300,0.333910,3.1134061,0.10572283
full,2300,0.314879,2.1287249,0.052990918
fixed,2400,0.458478,1.5286863,0.033601781
cc_dnr,2400,0.344291,3.0290285,0.10532882
full,2400,0.318339,2.1076551,0.052889698
fixed,2500,0.475779,1.4376413,0.033250843
cc_dnr,2500,0.349481,2.9982631,0.10474829
full,2500,0.323529,2.0895015,0.052886979
fixed,2600,0.510381,1.3544057,0.033225277
cc_dnr,2600,0.356401,2.9022337,0.10406735
full,2600,0.339100,2.0154855,0.052872388
fixed,2700,0.531142,1.3064814,0.033039827
cc_dnr,2700,0.382353,2.6429327,0.10280866
full,2700,0.347751,1.9325661,0.052387799
fixed,2800,0.557093,1.2359331,0.032965709
cc_dnr,2800,0.415225,2.5134909,0.10120407
full,2800,0.354671,1.9137415,0.052384103
fixed,2900,0.577855,1.1550557,0.032686553
cc_dnr,2900,0.432526,2.4573583,0.10117326
full,2900,0.358131,1.8549196,0.05181989
